rawRetailerName,rawStreetAddress,rawCity,rawState,rawZip,rawFullAddress,retailerName,streetAddress,city,state,zip,fullAddress,fiscalYear,key,decisionType,decisionDate,inspectionDate,inspectionYear,match,referenceNumber,isWarningSent,isMinorInvolved,saleToMinor,ucmNumber,warningUrl,warningDate,civilFine,ViolationCount
EDDIE'S CARRYOUT,4019 SOUTH CAPITOL STREET SOUTHWEST,WASHINGTON,DC,20032,"4019 SOUTH CAPITOL STREET SOUTHWEST, WASHINGTON, DC 20032",Eddie's Carryout,4019 SOUTH CAPITOL STREET SOUTHWEST,WASHINGTON,DC,20032,"4019 South Capitol Street Southwest, Washington, Dc 20032",2012,"Eddie's Carryout (4019 SOUTH CAPITOL STREET SOUTHWEST, WASHINGTON, DC 20032)",Warning Letter,8/2/12,4/3/12,2012,,12DC000111,1,1,1,317562,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm317562.htm,8/2/12,,3
ELMIRA GROCERY,4401 SOUTH CAPITOL STREET SOUTHWEST,WASHINGTON,DC,20032,"4401 SOUTH CAPITOL STREET SOUTHWEST, WASHINGTON, DC 20032",Elmira Grocery,4401 SOUTH CAPITOL STREET SOUTHWEST,WASHINGTON,DC,20032,"4401 South Capitol Street Southwest, Washington, Dc 20032",2012,"Elmira Grocery (4401 SOUTH CAPITOL STREET SOUTHWEST, WASHINGTON, DC 20032)",Warning Letter,8/2/12,4/3/12,2012,,12DC000097,1,1,1,317573,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm317573.htm,8/2/12,,2
COMPACT MARKET,1613 MONTELLO AVENUE NORTHEAST,WASHINGTON,DC,20002,"1613 MONTELLO AVENUE NORTHEAST, WASHINGTON, DC 20002",Compact Market,1613 MONTELLO AVENUE NORTHEAST,WASHINGTON,DC,20002,"1613 Montello Avenue Northeast, Washington, Dc 20002",2012,"Compact Market (1613 MONTELLO AVENUE NORTHEAST, WASHINGTON, DC 20002)",Warning Letter,7/26/12,5/23/12,2012,,12DC000281,1,1,1,316338,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm316338.htm,7/26/12,,3
8TH STREET DELI & MARKET,717 D STREET NORTHWEST,WASHINGTON,DC,20004,"717 D STREET NORTHWEST, WASHINGTON, DC 20004",8th Street Deli & Market,717 D STREET NORTHWEST,WASHINGTON,DC,20004,"717 D Street Northwest, Washington, Dc 20004",2012,"8th Street Deli & Market (717 D STREET NORTHWEST, WASHINGTON, DC 20004)",Warning Letter,7/19/12,4/11/12,2012,,12DC000339,1,,,316282,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm316282.htm,7/19/12,,2
CROWN,814 BLADENSBURG ROAD NORTHEAST,WASHINGTON,DC,20002,"814 BLADENSBURG ROAD NORTHEAST, WASHINGTON, DC 20002",Crown,814 BLADENSBURG ROAD NORTHEAST,WASHINGTON,DC,20002,"814 Bladensburg Road Northeast, Washington, Dc 20002",2012,"Crown (814 BLADENSBURG ROAD NORTHEAST, WASHINGTON, DC 20002)",Warning Letter,7/19/12,5/23/12,2012,,12DC000285,1,1,1,316698,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm316698.htm,7/19/12,,3
KENILWORTH BP,1535 KENILWORTH AVENUE NORTHEAST,WASHINGTON,DC,20019,"1535 KENILWORTH AVENUE NORTHEAST, WASHINGTON, DC 20019",Kenilworth Bp,1535 KENILWORTH AVENUE NORTHEAST,WASHINGTON,DC,20019,"1535 Kenilworth Avenue Northeast, Washington, Dc 20019",2012,"Kenilworth Bp (1535 KENILWORTH AVENUE NORTHEAST, WASHINGTON, DC 20019)",Warning Letter,7/19/12,5/23/12,2012,,12DC000150,1,1,1,315135,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm315135.htm,7/19/12,,3
SHELL,4321 NANNIE HELEN BURROUGHS AVENUE NORTHEAST,WASHINGTON,DC,20019,"4321 NANNIE HELEN BURROUGHS AVENUE NORTHEAST, WASHINGTON, DC 20019",Shell,4321 NANNIE HELEN BURROUGHS AVENUE NORTHEAST,WASHINGTON,DC,20019,"4321 Nannie Helen Burroughs Avenue Northeast, Washington, Dc 20019",2012,"Shell (4321 NANNIE HELEN BURROUGHS AVENUE NORTHEAST, WASHINGTON, DC 20019)",Warning Letter,7/19/12,5/23/12,2012,,12DC000142,1,1,1,314723,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm314723.htm,7/19/12,,3
77 MARKET,4239 9TH STREET NORTHWEST,WASHINGTON,DC,20011,"4239 9TH STREET NORTHWEST, WASHINGTON, DC 20011",77 Market,4239 9TH STREET NORTHWEST,WASHINGTON,DC,20011,"4239 9th Street Northwest, Washington, Dc 20011",2012,"77 Market (4239 9TH STREET NORTHWEST, WASHINGTON, DC 20011)",Warning Letter,7/12/12,5/3/12,2012,,12DC000380,1,1,1,314141,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm314141.htm,7/12/12,,2
CROWN,3011 MARTIN LUTHER KING JUNIOR AVENUE SOUTHEAST,WASHINGTON,DC,20032,"3011 MARTIN LUTHER KING JUNIOR AVENUE SOUTHEAST, WASHINGTON, DC 20032",Crown,3011 MARTIN LUTHER KING JUNIOR AVENUE SOUTHEAST,WASHINGTON,DC,20032,"3011 Martin Luther King Junior Avenue Southeast, Washington, Dc 20032",2012,"Crown (3011 MARTIN LUTHER KING JUNIOR AVENUE SOUTHEAST, WASHINGTON, DC 20032)",Warning Letter,7/12/12,4/4/12,2012,,12DC000088,1,1,1,313387,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm313387.htm,7/12/12,,3
OCEANVIEW LIQUOR STORE,4682 MARTIN LUTHER KING JUNIOR AVENUE SOUTHWEST,WASHINGTON,DC,20032,"4682 MARTIN LUTHER KING JUNIOR AVENUE SOUTHWEST, WASHINGTON, DC 20032",Oceanview Liquor Store,4682 MARTIN LUTHER KING JUNIOR AVENUE SOUTHWEST,WASHINGTON,DC,20032,"4682 Martin Luther King Junior Avenue Southwest, Washington, Dc 20032",2012,"Oceanview Liquor Store (4682 MARTIN LUTHER KING JUNIOR AVENUE SOUTHWEST, WASHINGTON, DC 20032)",Warning Letter,7/12/12,4/3/12,2012,,12DC000091,1,1,1,314171,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm314171.htm,7/12/12,,3
7-ELEVEN,2850 BLADENSBURG ROAD NORTHEAST,WASHINGTON,DC,20018,"2850 BLADENSBURG ROAD NORTHEAST, WASHINGTON, DC 20018",7-Eleven,2850 BLADENSBURG ROAD NORTHEAST,WASHINGTON,DC,20018,"2850 Bladensburg Road Northeast, Washington, Dc 20018",2012,"7-Eleven (2850 BLADENSBURG ROAD NORTHEAST, WASHINGTON, DC 20018)",Warning Letter,6/28/12,4/25/12,2012,,12DC000282,1,1,1,312553,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm312553.htm,6/28/12,,2
HEIGHTS SEAFOOD,333 HAWAII AVENUE NORTHEAST,WASHINGTON,DC,20011,"333 HAWAII AVENUE NORTHEAST, WASHINGTON, DC 20011",Heights Seafood,333 HAWAII AVENUE NORTHEAST,WASHINGTON,DC,20011,"333 Hawaii Avenue Northeast, Washington, Dc 20011",2012,"Heights Seafood (333 HAWAII AVENUE NORTHEAST, WASHINGTON, DC 20011)",Warning Letter,6/28/12,4/25/12,2012,,12DC000294,1,1,1,311408,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm311408.htm,6/28/12,,3
INTERNATIONAL PROGRESSO MARKET,7719 GEORGIA AVENUE NORTH WEST,WASHINGTON,DC,20012,"7719 GEORGIA AVENUE NORTH WEST, WASHINGTON, DC 20012",International Progresso Market,7719 GEORGIA AVENUE NORTH WEST,WASHINGTON,DC,20012,"7719 Georgia Avenue North West, Washington, Dc 20012",2012,"International Progresso Market (7719 GEORGIA AVENUE NORTH WEST, WASHINGTON, DC 20012)",Warning Letter,6/28/12,5/9/12,2012,,12DC000385,1,1,1,314928,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm314928.htm,6/28/12,,2
MALCOLM LIQUOR,3845 MINNESOTA AVENUE NORTHEAST,WASHINGTON,DC,20019,"3845 MINNESOTA AVENUE NORTHEAST, WASHINGTON, DC 20019",Malcolm Liquor,3845 MINNESOTA AVENUE NORTHEAST,WASHINGTON,DC,20019,"3845 Minnesota Avenue Northeast, Washington, Dc 20019",2012,"Malcolm Liquor (3845 MINNESOTA AVENUE NORTHEAST, WASHINGTON, DC 20019)",Warning Letter,6/28/12,4/6/12,2012,,12DC000156,1,1,1,312549,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm312549.htm,6/28/12,,2
YUM'S CARRYOUT,3943 MINNESOTA AVENUE NORTHEAST,WASHINGTON,DC,20019,"3943 MINNESOTA AVENUE NORTHEAST, WASHINGTON, DC 20019",Yum's Carryout,3943 MINNESOTA AVENUE NORTHEAST,WASHINGTON,DC,20019,"3943 Minnesota Avenue Northeast, Washington, Dc 20019",2012,"Yum's Carryout (3943 MINNESOTA AVENUE NORTHEAST, WASHINGTON, DC 20019)",Warning Letter,6/28/12,3/27/12,2012,,12DC000155,1,1,1,314122,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm314122.htm,6/28/12,,2
HESS,1739 NEW JERSEY AVENUE NORTHWEST,WASHINGTON,DC,20001,"1739 NEW JERSEY AVENUE NORTHWEST, WASHINGTON, DC 20001",Hess,1739 NEW JERSEY AVENUE NORTHWEST,WASHINGTON,DC,20001,"1739 New Jersey Avenue Northwest, Washington, Dc 20001",2012,"Hess (1739 NEW JERSEY AVENUE NORTHWEST, WASHINGTON, DC 20001)",Warning Letter,6/21/12,4/5/12,2012,,12DC000216,1,1,1,311936,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm311936.htm,6/21/12,,2
